PDB_ID	calss_label
2I3B	3.40.50.300
1EAZ	2.30.29.30
2CSY	3.30.40.10
1S3A	3.40.30.10
2YSQ	2.30.30.40
2YS3	2.30.29.30
2YS1	2.30.29.30
2FHO	3.30.70.330
3IHW	3.40.50.300
2CS4	3.10.20.90
2HE3	3.40.30.10
2MA6	3.30.40.10
3IDV	3.40.30.10
3CTR	3.30.70.330
1FNL	2.60.40.10
2DKP	2.30.29.30
2E19	1.10.10.60
1XIW	2.60.40.10
2YWK	3.30.70.330
2RLI	3.40.30.10
1U2H	2.60.40.10
2D8H	2.30.30.40
2E1O	1.10.10.60
2KT0	1.10.10.60
2ED0	2.30.30.40
2COF	2.30.29.30
2COB	1.10.10.60
2COC	2.30.29.30
3DZ8	3.40.50.300
2GOW	3.10.20.90
4O64	3.30.40.10
4ERN	3.40.50.300
2LXU	3.30.70.330
2P31	3.40.30.10
2EGE	2.30.30.40
2D8S	3.30.40.10
4BWQ	3.40.30.10
5F7F	2.60.40.10
2EDO	2.60.40.10
1WGO	2.60.40.10
2OCB	3.40.50.300
4CO7	3.10.20.90
5GOW	2.30.29.30
4I6X	3.40.30.10
3NOI	2.60.40.10
1WG1	3.30.70.330
1V5J	2.60.40.10
2GF9	3.40.50.300
2D9X	2.30.29.30
2FCB	2.60.40.10
1NKR	2.60.40.10
2M85	3.30.40.10
2C9Y	3.40.50.300
2K40	1.10.10.60
1WGD	3.10.20.90
2D9O	3.30.70.330
2E5G	3.30.70.330
2E5H	3.30.70.330
2E5J	3.30.70.330
2D9Z	2.30.29.30
2D9P	3.30.70.330
1WGY	3.10.20.90
1WGX	1.10.10.60
