PDB_ID	calss_label
2DN6	2.30.29
1WXT	2.30.30
4V11	2.60.40
4P0C	2.30.42
2EAQ	2.30.42
2LV2	3.30.160
1D5V	1.10.10
2QIC	3.30.40
2DI7	2.60.40
2ARW	2.60.40
2RA4	2.40.50
2DNM	3.30.70
2DNO	3.30.70
2DNH	3.30.70
3SMZ	3.30.70
2DNF	3.10.20
1UGV	2.30.30
1JR2	3.40.50
1UGK	2.60.40
1U5D	2.30.29
5A2F	2.60.40
5KC8	3.40.50
1WJU	3.10.20
1WJR	2.30.30
2WM8	3.40.50
1WJP	3.30.160
1QU6	3.30.160
2MGS	2.40.50
2K2J	2.30.29
1IAM	2.60.40
2FRG	2.60.40
2CT6	3.40.30
2CT2	3.30.40
2CTD	3.30.160
2LMD	1.10.10
2HDL	2.40.50
2HDE	3.10.20
2K27	1.10.10
2HDA	2.30.30
2E7M	2.60.40
2E7K	2.30.42
1FAO	2.30.29
1WGM	3.30.40
2VRD	3.30.160
2UZG	3.30.40
2GDZ	3.40.50
2L2O	1.10.10
2DJ0	3.40.30
2EEF	2.60.40
3BCH	3.40.50
2EEL	3.10.20
2EE0	2.60.40
2EE2	2.60.40
5FBK	3.40.50
2DJT	2.30.42
2LAU	3.30.40
1X4P	1.10.10
1X4U	3.30.40
1X4I	3.30.40
2MP1	2.40.50
1X4E	3.30.70
1RJT	2.40.50
2DGT	3.30.70
1WFM	2.60.40
1ZD8	3.40.50
2D8K	2.60.40
2RF0	2.30.30
5IQL	2.60.40
2E2W	3.40.50
2L7Z	1.10.10
2CP0	2.30.30
2L7R	3.10.20
2JUF	2.30.30
2CPE	3.30.70
2CPD	3.30.70
4GOS	2.60.40
2CPX	3.30.70
2E29	3.30.70
2Z0U	2.60.40
1WF8	2.30.42
3CBQ	3.40.50
4IFI	3.40.50
1WF1	3.30.70
2JP2	2.30.29
2YRP	2.60.40
1G91	2.40.50
2EW1	3.40.50
2RPQ	3.10.20
2R37	3.40.30
2N9X	3.10.20
1D4B	3.10.20
1ZXQ	2.60.40
2ATV	3.40.50
1ESR	2.40.50
3P2T	2.60.40
2DOA	1.10.10
1X3C	3.30.160
1Z60	3.30.40
2F3I	2.40.50
1WGV	2.60.40
1B4R	2.60.40
1HKF	2.60.40
2JNG	2.30.30
3PV7	2.60.40
1WOU	3.40.30
3A03	1.10.10
1TEV	3.40.50
2A14	3.40.50
3EDY	3.40.50
1T91	3.40.50
2M9K	3.30.70
1IBX	3.10.20
2M9A	3.30.160
2KOM	2.30.42
2FAU	2.60.40
2LJK	3.40.30
2CSH	3.30.160
2I3B	3.40.50
2CSS	2.30.42
2CSV	3.30.40
1EAZ	2.30.29
2CSY	3.30.40
2EKI	3.10.20
1S3A	3.40.30
2EKO	2.30.30
4HSV	2.40.50
4ZYA	1.10.10
2YST	2.60.40
1IMJ	3.40.50
2YSR	1.10.10
2YSQ	2.30.30
1H95	2.40.50
2YS3	2.30.29
2YS1	2.30.29
2FHO	3.30.70
3IHW	3.40.50
2CS3	1.10.10
2CS4	3.10.20
2HE3	3.40.30
2MA6	3.30.40
2XC7	1.10.10
3IDV	3.40.30
3CTR	3.30.70
1FNL	2.60.40
2LSO	1.10.10
2BKA	3.40.50
2DKR	2.30.42
2DKP	2.30.29
2E19	1.10.10
1XIW	2.60.40
2YWK	3.30.70
2RLI	3.40.30
1U2H	2.60.40
2D8H	2.30.30
2E1O	1.10.10
2KT0	1.10.10
2ED0	2.30.30
2CQO	2.40.50
1DP7	1.10.10
2COZ	2.30.30
2CH0	1.10.10
2COF	2.30.29
2COB	1.10.10
2COC	2.30.29
2LFE	2.60.40
3DZ8	3.40.50
2GOW	3.10.20
2JNJ	3.30.70
4O64	3.30.40
2EGM	3.30.40
4ERN	3.40.50
2LXU	3.30.70
2P31	3.40.30
2EGE	2.30.30
2EDV	2.30.42
1UAP	2.40.50
2D8S	3.30.40
4BWQ	3.40.30
5F7F	2.60.40
2EDO	2.60.40
1WGO	2.60.40
2OCB	3.40.50
4CO7	3.10.20
5GOW	2.30.29
4I6X	3.40.30
2JOX	3.30.160
3ELB	3.40.50
3NOI	2.60.40
1WG1	3.30.70
1V5J	2.60.40
2GF9	3.40.50
2D9X	2.30.29
2V37	2.60.40
2FCB	2.60.40
2RHI	2.30.30
1NKR	2.60.40
2M85	3.30.40
2GFU	2.30.30
2C9Y	3.40.50
2K40	1.10.10
1WGD	3.10.20
2D9O	3.30.70
2E5G	3.30.70
2E5H	3.30.70
2E5J	3.30.70
2D9Z	2.30.29
2EQK	2.30.30
1WH0	2.60.40
2D9P	3.30.70
1WGY	3.10.20
1WGX	1.10.10
