Entry	Entry name	Status	Protein names	Gene names	Organism	Date of creation	Date of last modification	Gene ontology (biological process)	Gene ID	Cross-reference (PDB)
Q8N5J2	MINY1_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase MINDY-1 (EC 3.4.19.12) (Deubiquitinating enzyme MINDY-1) (Protein FAM63A)	MINDY1 FAM63A KIAA1390	Homo sapiens (Human)	2008-07-22	2019-01-16	protein K48-linked deubiquitination [GO:0071108]	55793	5MN9
O94875	SRBS2_HUMAN	reviewed	Sorbin and SH3 domain-containing protein 2 (Arg-binding protein 2) (ArgBP2) (Arg/Abl-interacting protein 2) (Sorbin)	SORBS2 ARGBP2 KIAA0777	Homo sapiens (Human)	2008-07-22	2019-01-16	actin filament organization [GO:0007015]; cell growth involved in cardiac muscle cell development [GO:0061049]; Notch signaling pathway [GO:0007219]	8470	5VEI
Q6YHU6	THADA_HUMAN	reviewed	Thyroid adenoma-associated protein (Gene inducing thyroid adenomas protein)	THADA GITA KIAA1767	Homo sapiens (Human)	2008-07-22	2019-01-16	adaptive thermogenesis [GO:1990845]; lipid homeostasis [GO:0055088]; negative regulation of calcium-transporting ATPase activity [GO:1901895]; negative regulation of endoplasmic reticulum calcium ion concentration [GO:0032471]; tRNA methylation [GO:0030488]	63892	5T6Y
A7KAX9	RHG32_HUMAN	reviewed	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)	ARHGAP32 GRIT KIAA0712 RICS	Homo sapiens (Human)	2008-07-22	2019-01-16	regulation of small GTPase mediated signal transduction [GO:0051056]; small GTPase mediated signal transduction [GO:0007264]	9743	3IUG
Q96D96	HVCN1_HUMAN	reviewed	Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1) (HV1) (Voltage sensor domain-only protein)	HVCN1 VSOP UNQ578/PRO1140	Homo sapiens (Human)	2008-07-01	2019-01-16	cellular response to pH [GO:0071467]; cellular response to zinc ion [GO:0071294]; neutrophil degranulation [GO:0043312]; proton transmembrane transport [GO:1902600]; regulation of ion transmembrane transport [GO:0034765]; response to pH [GO:0009268]; response to zinc ion [GO:0010043]; sperm-egg recognition [GO:0035036]	84329	3A2A
Q5TCQ9	MAGI3_HUMAN	reviewed	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3)	MAGI3 KIAA1634	Homo sapiens (Human)	2008-06-10	2019-01-16	apoptotic process [GO:0006915]; intracellular signal transduction [GO:0035556]; regulation of JNK cascade [GO:0046328]; viral process [GO:0016032]	260425	3SOE
Q5JS54	PSMG4_HUMAN	reviewed	Proteasome assembly chaperone 4 (PAC-4) (hPAC4)	PSMG4 C6orf86 PAC4	Homo sapiens (Human)	2008-06-10	2019-01-16	proteasome assembly [GO:0043248]	389362	5WTQ
Q5SSJ5	HP1B3_HUMAN	reviewed	Heterochromatin protein 1-binding protein 3 (Protein HP1-BP74)	HP1BP3	Homo sapiens (Human)	2008-06-10	2019-01-16	cellular response to hypoxia [GO:0071456]; heterochromatin organization [GO:0070828]; nucleosome assembly [GO:0006334]; regulation of cell proliferation [GO:0042127]; regulation of nucleus size [GO:0097298]; regulation of transcription, DNA-templated [GO:0006355]	50809	2RQP
Q7Z7D3	VTCN1_HUMAN	reviewed	V-set domain-containing T-cell activation inhibitor 1 (B7 homolog 4) (B7-H4) (B7h.5) (Immune costimulatory protein B7-H4) (Protein B7S1) (T-cell costimulatory molecule B7x)	VTCN1 B7H4 UNQ659/PRO1291	Homo sapiens (Human)	2008-06-10	2019-01-16	adaptive immune response [GO:0002250]; interferon-gamma secretion [GO:0072643]; interleukin-4 secretion [GO:0072602]; negative regulation of apoptotic process [GO:0043066]; negative regulation of T cell activation [GO:0050868]; negative regulation of T cell proliferation [GO:0042130]; positive regulation of interleukin-2 secretion [GO:1900042]; positive regulation of T cell proliferation [GO:0042102]; regulation of immune response [GO:0050776]; response to protozoan [GO:0001562]; T cell receptor signaling pathway [GO:0050852]	79679	4GOS
Q29980	MICB_HUMAN	reviewed	MHC class I polypeptide-related sequence B (MIC-B)	MICB PERB11.2	Homo sapiens (Human)	2008-06-10	2019-01-16	cytolysis [GO:0019835]; gamma-delta T cell activation [GO:0046629]; immune response [GO:0006955]; immune response-activating cell surface receptor signaling pathway [GO:0002429]; natural killer cell activation [GO:0030101]; natural killer cell mediated cytotoxicity [GO:0042267]; negative regulation of defense response to virus by host [GO:0050689]; regulation of immune response [GO:0050776]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; response to retinoic acid [GO:0032526]; susceptibility to natural killer cell mediated cytotoxicity [GO:0042271]; T cell mediated cytotoxicity [GO:0001913]; viral process [GO:0016032]	4277	2WY3
Q96HL8	SH3Y1_HUMAN	reviewed	SH3 domain-containing YSC84-like protein 1	SH3YL1	Homo sapiens (Human)	2008-06-10	2019-01-16	phosphatidylinositol biosynthetic process [GO:0006661]; regulation of ruffle assembly [GO:1900027]	26751	2D8H
P0C7P0	CISD3_HUMAN	reviewed	CDGSH iron-sulfur domain-containing protein 3, mitochondrial (MitoNEET-related protein 2) (Miner2) (Mitochondrial inner NEET protein) (MiNT)	CISD3	Homo sapiens (Human)	2008-06-10	2019-01-16	protein maturation by [2Fe-2S] cluster transfer [GO:0106034]	284106	6AVJ
A8K8P3	SFI1_HUMAN	reviewed	Protein SFI1 homolog (hSFI1)	SFI1 KIAA0542	Homo sapiens (Human)	2008-05-20	2019-01-16	ciliary basal body-plasma membrane docking [GO:0097711]; G2/M transition of mitotic cell cycle [GO:0000086]; negative regulation of phosphatase activity [GO:0010923]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]	9814	2K2I
Q96BT7	ALKB8_HUMAN	reviewed	Alkylated DNA repair protein alkB homolog 8 (EC 1.14.11.-) (Probable alpha-ketoglutarate-dependent dioxygenase ABH8) (S-adenosyl-L-methionine-dependent tRNA methyltransferase ABH8) (tRNA (carboxymethyluridine(34)-5-O)-methyltransferase ABH8) (EC 2.1.1.229)	ALKBH8 ABH8	Homo sapiens (Human)	2008-05-20	2019-01-16	cellular response to DNA damage stimulus [GO:0006974]; oxidation-reduction process [GO:0055114]; tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]	91801	2CQ2
A4D2B0	MBLC1_HUMAN	reviewed	Metallo-beta-lactamase domain-containing protein 1 (EC 3.-.-.-)	MBLAC1	Homo sapiens (Human)	2008-05-20	2019-01-16		255374	4V0H
Q7Z6L1	TCPR1_HUMAN	reviewed	Tectonin beta-propeller repeat-containing protein 1	TECPR1 KIAA1358	Homo sapiens (Human)	2008-05-20	2019-01-16	autophagosome maturation [GO:0097352]; autophagy [GO:0006914]	25851	4TQ1
Q9NYN1	RASLC_HUMAN	reviewed	Ras-like protein family member 12 (Ras-like protein Ris)	RASL12 RIS	Homo sapiens (Human)	2008-05-20	2019-01-16	signal transduction [GO:0007165]	51285	3C5C
Q9NZQ0	DJC27_HUMAN	reviewed	DnaJ homolog subfamily C member 27 (Rab and DnaJ domain-containing protein)	DNAJC27 RABJS RBJ	Homo sapiens (Human)	2008-05-20	2019-01-16	intracellular protein transport [GO:0006886]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; Rab protein signal transduction [GO:0032482]; regulation of MAPK export from nucleus [GO:0071701]	51277	2YS8
Q86WV5	TEN1L_HUMAN	reviewed	CST complex subunit TEN1 (Protein telomeric pathways with STN1 homolog) (Telomere length regulation protein TEN1 homolog)	TEN1 C17orf106	Homo sapiens (Human)	2008-05-20	2019-01-16	negative regulation of telomere maintenance via telomerase [GO:0032211]; telomere capping [GO:0016233]	100134934	4JOI
Q7L5Y1	ENOF1_HUMAN	reviewed	Mitochondrial enolase superfamily member 1 (EC 4.2.1.68) (Antisense RNA to thymidylate synthase) (rTS) (L-fuconate dehydratase)	ENOSF1 RTS TYMSAS	Homo sapiens (Human)	2008-04-29	2019-01-16	cellular amino acid catabolic process [GO:0009063]; cellular carbohydrate catabolic process [GO:0044275]	55556	4A35
Q96E93	KLRG1_HUMAN	reviewed	Killer cell lectin-like receptor subfamily G member 1 (C-type lectin domain family 15 member A) (ITIM-containing receptor MAFA-L) (MAFA-like receptor) (Mast cell function-associated antigen)	KLRG1 CLEC15A MAFA MAFAL	Homo sapiens (Human)	2008-04-29	2019-01-16	cell surface receptor signaling pathway [GO:0007166]; cellular defense response [GO:0006968]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]	10219	3FF7
Q8IZA0	K319L_HUMAN	reviewed	Dyslexia-associated protein KIAA0319-like protein (Adeno-associated virus receptor) (AAVR)	KIAA0319L AAVR KIAA1837 PP791	Homo sapiens (Human)	2008-04-29	2019-01-16		79932	2YRL
Q9NXN4	GDAP2_HUMAN	reviewed	Ganglioside-induced differentiation-associated protein 2	GDAP2	Homo sapiens (Human)	2008-04-29	2019-01-16	response to retinoic acid [GO:0032526]	54834	4UML
Q9HD47	MOG1_HUMAN	reviewed	Ran guanine nucleotide release factor (RanGNRF) (Ran-binding protein MOG1)	RANGRF MOG1 RANGNRF HSPC165 HSPC236 MDS5	Homo sapiens (Human)	2008-04-29	2019-01-16	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein localization to plasma membrane [GO:1903078]; protein exit from endoplasmic reticulum [GO:0032527]; regulation of bundle of His cell action potential [GO:0098905]; regulation of cardiac muscle cell action potential involved in regulation of contraction [GO:0098909]; regulation of heart rate [GO:0002027]; regulation of membrane depolarization [GO:0003254]; regulation of membrane depolarization during cardiac muscle cell action potential [GO:1900825]; regulation of membrane potential [GO:0042391]; regulation of microtubule nucleation by Ran protein signal transduction [GO:0090226]; regulation of sodium ion transmembrane transport [GO:1902305]; regulation of sodium ion transmembrane transporter activity [GO:2000649]	29098	5YFG
Q8WWN9	ICEF1_HUMAN	reviewed	Interactor protein for cytohesin exchange factors 1 (Phosphoinositide-binding protein PIP3-E)	IPCEF1 KIAA0403	Homo sapiens (Human)	2008-04-08	2019-01-16	oxygen transport [GO:0015671]; response to oxidative stress [GO:0006979]	26034	5MR1
Q6GPH4	XAF1_HUMAN	reviewed	XIAP-associated factor 1 (BIRC4-binding protein)	XAF1 BIRC4BP XIAPAF1	Homo sapiens (Human)	2008-04-08	2019-01-16	apoptotic process [GO:0006915]; response to interferon-beta [GO:0035456]; type I interferon signaling pathway [GO:0060337]	54739	2LXW
Q8IYD1	ERF3B_HUMAN	reviewed	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B (Eukaryotic peptide chain release factor subunit 3b) (eRF3b) (G1 to S phase transition protein 2 homolog)	GSPT2 ERF3B	Homo sapiens (Human)	2008-04-08	2019-01-16	cell cycle [GO:0007049]; cytoplasmic translational termination [GO:0002184]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; translation [GO:0006412]	23708	3KUJ
P0C6T2	OST4_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4	OST4	Homo sapiens (Human)	2008-04-08	2019-01-16	protein N-linked glycosylation via asparagine [GO:0018279]	100128731	2LAT
Q6P4F2	FDX2_HUMAN	reviewed	Ferredoxin-2, mitochondrial (Adrenodoxin-like protein) (Ferredoxin-1-like protein)	FDX2 FDX1L	Homo sapiens (Human)	2008-03-18	2019-01-16	C21-steroid hormone biosynthetic process [GO:0006700]; small molecule metabolic process [GO:0044281]; sterol metabolic process [GO:0016125]	112812	2Y5C
Q5VZK9	CARL1_HUMAN	reviewed	F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (Leucine-rich repeat-containing protein 16A)	CARMIL1 CARMIL LRRC16 LRRC16A	Homo sapiens (Human)	2008-03-18	2019-01-16	actin filament network formation [GO:0051639]; actin filament organization [GO:0007015]; barbed-end actin filament uncapping [GO:0051638]; blood coagulation [GO:0007596]; cell migration [GO:0016477]; lamellipodium assembly [GO:0030032]; macropinocytosis [GO:0044351]; negative regulation of barbed-end actin filament capping [GO:2000813]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell migration [GO:0030335]; positive regulation of lamellipodium organization [GO:1902745]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; ruffle organization [GO:0031529]; urate metabolic process [GO:0046415]	55604	3LK2
Q8N1W1	ARG28_HUMAN	reviewed	Rho guanine nucleotide exchange factor 28 (190 kDa guanine nucleotide exchange factor) (p190-RhoGEF) (p190RhoGEF) (Rho guanine nucleotide exchange factor)	ARHGEF28 KIAA1998 RGNEF	Homo sapiens (Human)	2008-03-18	2019-01-16	cell differentiation [GO:0030154]; ephrin receptor signaling pathway [GO:0048013]; intracellular signal transduction [GO:0035556]; regulation of Rho protein signal transduction [GO:0035023]	64283	6BC0
Q9Y222	DMTF1_HUMAN	reviewed	Cyclin-D-binding Myb-like transcription factor 1 (hDMTF1) (Cyclin-D-interacting Myb-like protein 1) (hDMP1)	DMTF1 DMP1	Homo sapiens (Human)	2008-03-18	2019-01-16	cell cycle [GO:0007049]; regulation of transcription, DNA-templated [GO:0006355]	9988	2LLK
Q86XI6	PPR3B_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3B (Hepatic glycogen-targeting protein phosphatase 1 regulatory subunit GL) (Protein phosphatase 1 regulatory subunit 4) (PP1 subunit R4) (Protein phosphatase 1 subunit GL) (PTG)	PPP1R3B PPP1R4	Homo sapiens (Human)	2008-03-18	2019-01-16	glycogen metabolic process [GO:0005977]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of glycogen catabolic process [GO:0005981]	79660	2EEF
Q17R98	ZN827_HUMAN	reviewed	Zinc finger protein 827	ZNF827	Homo sapiens (Human)	2008-03-18	2019-01-16	regulation of gene expression [GO:0010468]	152485	5XXQ
O43414	ERI3_HUMAN	reviewed	ERI1 exoribonuclease 3 (EC 3.1.-.-) (Prion interactor 1) (Prion protein-interacting protein)	ERI3 PINT1 PRNPIP PRNPIP1	Homo sapiens (Human)	2008-03-18	2019-01-16	DNA catabolic process, exonucleolytic [GO:0000738]; exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000467]	79033	2XRI
Q30154	DRB5_HUMAN	reviewed	HLA class II histocompatibility antigen, DR beta 5 chain (DR beta-5) (DR2-beta-2) (Dw2) (MHC class II antigen DRB5)	HLA-DRB5	Homo sapiens (Human)	2008-03-18	2019-01-16	antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; interferon-gamma-mediated signaling pathway [GO:0060333]; T cell receptor signaling pathway [GO:0050852]	3127	1FV1
Q9NRF2	SH2B1_HUMAN	reviewed	SH2B adapter protein 1 (Pro-rich, PH and SH2 domain-containing signaling mediator) (PSM) (SH2 domain-containing protein 1B)	SH2B1 KIAA1299 SH2B	Homo sapiens (Human)	2008-03-18	2019-01-16	blood coagulation [GO:0007596]; intracellular signal transduction [GO:0035556]; lamellipodium assembly [GO:0030032]; positive regulation of mitotic nuclear division [GO:0045840]; regulation of DNA biosynthetic process [GO:2000278]	25970	5W3R
Q7L0Q8	RHOU_HUMAN	reviewed	Rho-related GTP-binding protein RhoU (CDC42-like GTPase 1) (GTP-binding protein-like 1) (Rho GTPase-like protein ARHU) (Ryu GTPase) (Wnt-1 responsive Cdc42 homolog 1) (WRCH-1)	RHOU ARHU CDC42L1 G28K WRCH1 SB128	Homo sapiens (Human)	2008-03-18	2019-01-16	actin cytoskeleton organization [GO:0030036]; actin filament organization [GO:0007015]; Cdc42 protein signal transduction [GO:0032488]; cell projection assembly [GO:0030031]; cytokine-mediated signaling pathway [GO:0019221]; cytoskeleton organization [GO:0007010]; endocytosis [GO:0006897]; establishment or maintenance of cell polarity [GO:0007163]; G1/S transition of mitotic cell cycle [GO:0000082]; positive regulation of protein targeting to mitochondrion [GO:1903955]; Rac protein signal transduction [GO:0016601]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell shape [GO:0008360]; regulation of small GTPase mediated signal transduction [GO:0051056]; Rho protein signal transduction [GO:0007266]	58480	2Q3H
Q5T890	ER6L2_HUMAN	reviewed	DNA excision repair protein ERCC-6-like 2 (EC 3.6.4.-) (DNA repair and recombination protein RAD26-like)	ERCC6L2 C9orf102 RAD26L	Homo sapiens (Human)	2008-03-18	2019-01-16	cellular response to reactive oxygen species [GO:0034614]; interstrand cross-link repair [GO:0036297]	375748	6HQ9
Q86UU9	TKN4_HUMAN	reviewed	Tachykinin-4 (Preprotachykinin-C) (PPT-C) [Cleaved into: Endokinin-A (EKA); Endokinin-A/B (EKA/B); Endokinin-C (EKC)]	TAC4	Homo sapiens (Human)	2008-02-26	2019-01-16	detection of temperature stimulus involved in sensory perception of pain [GO:0050965]; inflammatory response [GO:0006954]; negative regulation of sensory perception of pain [GO:1904057]; negative regulation of systemic arterial blood pressure [GO:0003085]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of flagellated sperm motility [GO:1902093]; positive regulation of sensory perception of pain [GO:1904058]; regulation of blood pressure [GO:0008217]; regulation of sensory perception of pain [GO:0051930]; tachykinin receptor signaling pathway [GO:0007217]	255061	2MOC
Q6EKJ0	GTD2B_HUMAN	reviewed	General transcription factor II-I repeat domain-containing protein 2B (GTF2I repeat domain-containing protein 2B) (Transcription factor GTF2IRD2-beta)	GTF2IRD2B	Homo sapiens (Human)	2008-02-26	2019-01-16	transition between fast and slow fiber [GO:0014883]	389524	2E3L
Q5VZV1	MT21C_HUMAN	reviewed	Protein-lysine methyltransferase METTL21C (EC 2.1.1.-) (Methyltransferase-like protein 21C)	METTL21C C13orf39	Homo sapiens (Human)	2008-02-26	2019-01-16	cellular response to dexamethasone stimulus [GO:0071549]; hormone-mediated apoptotic signaling pathway [GO:0008628]; protein methylation [GO:0006479]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; skeletal muscle tissue development [GO:0007519]	196541	4MTL
Q8IVF2	AHNK2_HUMAN	reviewed	Protein AHNAK2	AHNAK2 C14orf78 KIAA2019	Homo sapiens (Human)	2008-02-26	2019-01-16	regulation of RNA splicing [GO:0043484]	113146	4CN0
Q9UHB4	NDOR1_HUMAN	reviewed	NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase) (Novel reductase 1)	NDOR1 NR1	Homo sapiens (Human)	2008-02-26	2019-01-16	cell death [GO:0008219]; cellular response to menadione [GO:0036245]; iron-sulfur cluster assembly [GO:0016226]; oxidation-reduction process [GO:0055114]	27158	4H2D
Q86TB9	PATL1_HUMAN	reviewed	Protein PAT1 homolog 1 (PAT1-like protein 1) (Protein PAT1 homolog b) (Pat1b) (hPat1b)	PATL1 OK/KNS-cl.5	Homo sapiens (Human)	2008-02-26	2019-01-16	cytoplasmic mRNA processing body assembly [GO:0033962]; deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay [GO:0043928]	219988	2XES
Q8WWL2	SPIR2_HUMAN	reviewed	Protein spire homolog 2 (Spir-2)	SPIRE2 KIAA1832 SPIR2	Homo sapiens (Human)	2008-02-26	2019-01-16	actin cytoskeleton organization [GO:0030036]; actin nucleation [GO:0045010]; cleavage furrow formation [GO:0036089]; establishment of meiotic spindle localization [GO:0051295]; formin-nucleated actin cable assembly [GO:0070649]; intracellular transport [GO:0046907]; polar body extrusion after meiotic divisions [GO:0040038]; positive regulation of double-strand break repair [GO:2000781]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]	84501	5JCY
Q5T2T1	MPP7_HUMAN	reviewed	MAGUK p55 subfamily member 7	MPP7	Homo sapiens (Human)	2008-02-26	2019-01-16	bicellular tight junction assembly [GO:0070830]; establishment of cell polarity [GO:0030010]; positive regulation of protein complex assembly [GO:0031334]; protein localization to adherens junction [GO:0071896]	143098	3O46
O95267	GRP1_HUMAN	reviewed	RAS guanyl-releasing protein 1 (Calcium and DAG-regulated guanine nucleotide exchange factor II) (CalDAG-GEFII) (Ras guanyl-releasing protein)	RASGRP1 RASGRP	Homo sapiens (Human)	2008-02-05	2019-01-16	activation of GTPase activity [GO:0090630]; cell differentiation [GO:0030154]; cytokine production [GO:0001816]; inflammatory response to antigenic stimulus [GO:0002437]; MAPK cascade [GO:0000165]; mast cell degranulation [GO:0043303]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of granulocyte macrophage colony-stimulating factor production [GO:0032725]; positive regulation of GTPase activity [GO:0043547]; positive regulation of interferon-gamma secretion [GO:1902715]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of natural killer cell differentiation [GO:0032825]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of Ras protein signal transduction [GO:0046579]; positive regulation of T cell differentiation in thymus [GO:0033089]; positive regulation of tumor necrosis factor production [GO:0032760]; protein complex oligomerization [GO:0051259]; Ras protein signal transduction [GO:0007265]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of phosphatidylinositol 3-kinase signaling [GO:0014066]; secretory granule localization [GO:0032252]; signal transduction [GO:0007165]; vesicle transport along microtubule [GO:0047496]	10125	4L9U
Q6ICB0	DESI1_HUMAN	reviewed	Desumoylating isopeptidase 1 (DeSI-1) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 2) (Protein FAM152B)	DESI1 FAM152B PPPDE2	Homo sapiens (Human)	2008-02-05	2019-01-16		27351	3EBQ
Q9NRG1	PRDC1_HUMAN	reviewed	Phosphoribosyltransferase domain-containing protein 1	PRTFDC1 HHGP	Homo sapiens (Human)	2008-02-05	2019-01-16	purine ribonucleoside salvage [GO:0006166]	56952	2JBH
